AJ-ELLA 250,1550,2600,1100,210,19
AJ – S 330,1950,3100,1100,260,28
AJ – S 275,1950,3100,1100,250,250
AJ – S 385,2000,3400,1600,308,71
AJ – S 440,2000,3350,1400,352,65
AJ – S 525,2000,3400,1600,430,70
AJ – S 640,2350,4200,1900,520,96
AJ – S 825,2350,4200,1900,720,77
AJ – S 950,2350,4200,1900,720,80
AJ – S 1250,2600,5200,2100,1100,118
AJ – S 700,2350,4200,1900,520,62
AJ – S 825,2350,4200,2350,720,77
AJ – S 1100,2600,5200,2100,920,108
AJ – S 1375,2600,5200,2100,1100,118
AJ-ELLA 90,1350,1900,1000,74,18
AJ-ELLA 150,1600,2300,1100,130,21.1
AJ-ELLA 16,1250,1450,1000,12,9
AJ-ELLA 75,1350,1900,1000,74,18
AJ-ELLA 225,1550,2600,1100,170,26
AJ ELLA 37,1300,1700,1000,33,7.7
AJ-ELLA 28,1250,1850,1000,24,4.8
AJ-ELLA 125,1600,2300,1100,110,21.1
